time_et,symbol,action,type,qty,price,status,details
2025-09-10 14:31:19,CVS,SELL,LIMIT,1,73.4400,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:31:29,PCG,SELL,LIMIT,1,15.3300,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:31:52,CVS,SELL,LIMIT,1,73.4200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:32:02,PCG,SELL,LIMIT,1,15.3200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:32:25,CVS,SELL,LIMIT,1,73.4200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:32:34,PCG,SELL,LIMIT,1,15.3100,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:32:57,CVS,SELL,LIMIT,1,73.4200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:33:07,PCG,SELL,LIMIT,1,15.3200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:33:29,CVS,SELL,LIMIT,1,73.4000,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:33:39,PCG,SELL,LIMIT,1,15.3200,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:34:02,CVS,SELL,LIMIT,1,73.3900,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:34:11,PCG,SELL,LIMIT,1,15.3300,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:34:33,CVS,SELL,LIMIT,1,73.3800,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:34:42,PCG,SELL,LIMIT,1,15.3100,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:35:05,CVS,SELL,LIMIT,1,73.3900,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:35:15,PCG,SELL,LIMIT,1,15.3300,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:35:36,CVS,SELL,LIMIT,1,73.3800,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:35:46,PCG,SELL,LIMIT,1,15.3300,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:36:10,CVS,SELL,LIMIT,1,73.3900,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
2025-09-10 14:36:19,PCG,SELL,LIMIT,1,15.3400,failed,"preview_then_place_limit_sell() missing 3 required positional arguments: 'symbol', 'qty', and 'limit_px'"
